region,year,month,year_month,event,population
강원도,2022,8,2022-08,Flood 2022,1538801
경기도,2022,8,2022-08,Flood 2022,13590056
경상남도,2022,8,2022-08,Flood 2022,3290991
경상북도,2022,8,2022-08,Flood 2022,2609356
광주광역시,2022,8,2022-08,Flood 2022,1434397
대구광역시,2022,8,2022-08,Flood 2022,2371936
대전광역시,2022,8,2022-08,Flood 2022,1448240
부산광역시,2022,8,2022-08,Flood 2022,3331444
서울특별시,2022,8,2022-08,Flood 2022,9488454
세종특별자치시,2022,8,2022-08,Flood 2022,381439
울산광역시,2022,8,2022-08,Flood 2022,1113458
인천광역시,2022,8,2022-08,Flood 2022,2963117
전라남도,2022,8,2022-08,Flood 2022,1824104
전라북도,2022,8,2022-08,Flood 2022,1775664
제주특별자치도,2022,8,2022-08,Flood 2022,679016
충청남도,2022,8,2022-08,Flood 2022,2121082
충청북도,2022,8,2022-08,Flood 2022,1596886
강원도,2023,7,2023-07,Flood 2023,1532050
경기도,2023,7,2023-07,Flood 2023,13623055
경상남도,2023,7,2023-07,Flood 2023,3261361
경상북도,2023,7,2023-07,Flood 2023,2564065
광주광역시,2023,7,2023-07,Flood 2023,1424305
대구광역시,2023,7,2023-07,Flood 2023,2379086
대전광역시,2023,7,2023-07,Flood 2023,1444898
부산광역시,2023,7,2023-07,Flood 2023,3305052
서울특별시,2023,7,2023-07,Flood 2023,9411260
세종특별자치시,2023,7,2023-07,Flood 2023,386192
울산광역시,2023,7,2023-07,Flood 2023,1105326
인천광역시,2023,7,2023-07,Flood 2023,2981553
전라남도,2023,7,2023-07,Flood 2023,1810071
전라북도,2023,7,2023-07,Flood 2023,1761169
제주특별자치도,2023,7,2023-07,Flood 2023,676810
충청남도,2023,7,2023-07,Flood 2023,2126640
충청북도,2023,7,2023-07,Flood 2023,1594240
